City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,cabo san lucas,22.8909,-109.9124,305.76,72,68,5.77,MX,Mon Jul 29 00:19:55 2024
159,olonkinbyen,70.9221,-8.7187,278.1,99,100,8.35,SJ,Mon Jul 29 00:19:56 2024
160,maun,-19.9833,23.4167,282.25,30,0,3.37,BW,Mon Jul 29 00:19:57 2024
161,lazaro cardenas,17.9583,-102.2,300.03,83,99,2.37,MX,Mon Jul 29 00:19:58 2024
162,eraan,9.0629,117.7016,305.6,58,43,2.32,PH,Mon Jul 29 00:19:59 2024
163,nikolayevsk-on-amure,53.1406,140.73,287.48,79,100,3.38,RU,Mon Jul 29 00:20:02 2024
164,huanren,41.2647,125.3667,303.18,68,99,2.57,CN,Mon Jul 29 00:20:03 2024
165,jamestown,42.097,-79.2353,296.32,68,0,2.57,US,Mon Jul 29 00:17:33 2024
166,byumba,-1.5763,30.0675,285.26,63,31,1.24,RW,Mon Jul 29 00:20:05 2024
167,laascaanood,8.4774,47.3597,296.5,61,94,12.45,SO,Mon Jul 29 00:20:06 2024
168,oranjemund,-28.55,16.4333,283.33,70,0,5.33,NA,Mon Jul 29 00:20:07 2024
169,burutu,5.3509,5.5076,297.33,89,100,3.76,NG,Mon Jul 29 00:20:08 2024
170,haikou,20.0458,110.3417,304.22,79,20,2.0,CN,Mon Jul 29 00:20:09 2024
171,n'zeto,-7.2312,12.8666,293.03,89,100,1.34,AO,Mon Jul 29 00:20:10 2024
172,mahanoro,-19.9,48.8,292.35,88,6,3.07,MG,Mon Jul 29 00:20:11 2024
173,sinaia,45.35,25.55,293.61,63,0,1.02,RO,Mon Jul 29 00:20:13 2024
174,masterton,-40.9597,175.6575,287.09,73,100,4.47,NZ,Mon Jul 29 00:20:14 2024
175,egilsstadir,65.2653,-14.3948,287.1,67,75,6.69,IS,Mon Jul 29 00:20:15 2024
176,polyarnyy,69.1989,33.4478,283.84,81,99,4.68,RU,Mon Jul 29 00:20:16 2024
177,cockburn town,21.4612,-71.1419,300.83,83,100,7.55,TC,Mon Jul 29 00:20:18 2024
178,st. john's,47.5649,-52.7093,292.19,88,20,12.35,CA,Mon Jul 29 00:20:08 2024
179,kavieng,-2.5744,150.7967,301.93,73,88,3.57,PG,Mon Jul 29 00:20:20 2024
180,hawaiian paradise park,19.5933,-154.9731,298.08,78,54,0.45,US,Mon Jul 29 00:20:21 2024
181,zaozersk,69.4005,32.4476,283.9,83,83,3.47,RU,Mon Jul 29 00:20:22 2024
182,lethbridge,49.7,-112.8186,292.42,34,72,4.34,CA,Mon Jul 29 00:20:23 2024
183,sumbawanga,-7.9667,31.6167,285.39,36,0,1.51,TZ,Mon Jul 29 00:20:25 2024
184,greifswald,54.1,13.3833,287.63,100,2,4.94,DE,Mon Jul 29 00:20:26 2024
185,olinda,-8.0089,-34.8553,299.0,83,75,5.14,BR,Mon Jul 29 00:20:27 2024
186,choyr,46.3611,108.3611,300.25,39,46,3.04,MN,Mon Jul 29 00:20:28 2024
187,akureyri,65.6835,-18.0878,285.11,76,75,2.06,IS,Mon Jul 29 00:20:29 2024
188,carlisle,40.2015,-77.1889,296.58,67,91,1.65,US,Mon Jul 29 00:20:30 2024
189,suya,9.4667,3.1833,294.39,97,100,3.06,NG,Mon Jul 29 00:20:31 2024
190,impfondo,1.6381,18.0667,295.41,87,54,1.74,CG,Mon Jul 29 00:20:32 2024
191,minas de marcona,-15.2119,-75.1103,282.92,92,26,4.18,PE,Mon Jul 29 00:20:33 2024
192,warrenton,-28.114,24.8475,271.82,74,0,1.44,ZA,Mon Jul 29 00:20:34 2024
193,dukhovnitskoye,52.4828,48.2137,293.51,67,65,2.51,RU,Mon Jul 29 00:20:35 2024
194,al ghayzah,16.2079,52.176,298.8,89,100,4.5,YE,Mon Jul 29 00:20:36 2024
195,ciudad lazaro cardenas,17.9583,-102.2,300.03,83,99,2.37,MX,Mon Jul 29 00:20:37 2024
196,coahuayana de hidalgo,18.7,-103.6583,299.23,89,26,0.94,MX,Mon Jul 29 00:20:40 2024
197,pisco,-13.7,-76.2167,289.18,88,100,3.09,PE,Mon Jul 29 00:20:41 2024
198,prado,-17.3411,-39.2208,296.0,79,0,2.58,BR,Mon Jul 29 00:20:42 2024
199,port alfred,-33.5906,26.891,282.14,70,63,2.24,ZA,Mon Jul 29 00:20:43 2024
200,gushu,31.5598,118.4829,310.14,51,0,2.4,CN,Mon Jul 29 00:20:44 2024
201,ditrau,46.8167,25.5167,288.57,84,7,1.34,RO,Mon Jul 29 00:20:45 2024
202,lubang,13.8584,120.124,301.69,74,100,5.48,PH,Mon Jul 29 00:20:46 2024
203,paraiso,9.8383,-83.8656,293.63,100,100,2.68,CR,Mon Jul 29 00:20:47 2024
204,guaiba,-30.1139,-51.325,287.1,93,100,6.66,BR,Mon Jul 29 00:20:48 2024
205,cradock,-32.1642,25.6192,274.33,75,21,1.91,ZA,Mon Jul 29 00:20:49 2024
206,vilyuchinsk,52.9306,158.4028,285.3,88,100,2.1,RU,Mon Jul 29 00:20:50 2024
207,arraial do cabo,-22.9661,-42.0278,295.33,91,1,8.93,BR,Mon Jul 29 00:20:52 2024
208,talnakh,69.4865,88.3972,298.96,38,24,1.88,RU,Mon Jul 29 00:20:53 2024
209,natal,-5.795,-35.2094,297.51,94,40,3.6,BR,Mon Jul 29 00:20:54 2024
210,brigantine,39.4101,-74.3646,297.05,83,0,1.79,US,Mon Jul 29 00:20:56 2024
211,usogorsk,63.4106,48.6872,287.32,96,100,2.55,RU,Mon Jul 29 00:19:13 2024
212,queenstown,-31.8976,26.8753,273.19,68,4,2.97,ZA,Mon Jul 29 00:20:59 2024
213,richards bay,-28.783,32.0377,291.45,49,95,4.38,ZA,Mon Jul 29 00:21:00 2024
214,kismayo,-0.3582,42.5454,298.04,82,9,5.21,SO,Mon Jul 29 00:21:01 2024
215,rikaze,29.25,88.8833,293.06,28,1,0.9,CN,Mon Jul 29 00:21:02 2024
216,tura,25.5198,90.2201,303.47,73,100,2.64,IN,Mon Jul 29 00:21:04 2024
217,howrah,22.5892,88.3103,305.15,79,40,3.6,IN,Mon Jul 29 00:21:06 2024
218,bodo,67.28,14.405,286.17,94,40,3.09,NO,Mon Jul 29 00:21:07 2024
219,qamdo,31.1667,97.2333,286.95,49,79,2.96,CN,Mon Jul 29 00:21:08 2024
220,afaahiti,-17.75,-149.2833,299.08,82,0,8.91,PF,Mon Jul 29 00:21:09 2024
221,konstantinovka,49.6167,127.9833,298.11,80,96,3.17,RU,Mon Jul 29 00:21:10 2024
222,benjamin aceval,-24.9667,-57.5667,292.37,96,69,3.39,PY,Mon Jul 29 00:21:11 2024
223,great bend,38.3645,-98.7648,303.22,48,0,7.2,US,Mon Jul 29 00:21:12 2024
224,kalmunai,7.4167,81.8167,306.08,46,100,4.64,LK,Mon Jul 29 00:21:13 2024
225,nova sintra,14.8667,-24.7167,298.35,79,92,6.42,CV,Mon Jul 29 00:21:14 2024
226,bandarbeyla,9.4942,50.8122,300.11,68,84,11.76,SO,Mon Jul 29 00:21:16 2024
227,balnearia,-31.0088,-62.6673,281.6,47,80,4.34,AR,Mon Jul 29 00:21:17 2024
228,al artawiyah,26.5053,45.3444,304.96,18,100,4.31,SA,Mon Jul 29 00:21:18 2024
229,sidi merouane,36.5206,6.2611,295.86,32,0,0.59,DZ,Mon Jul 29 00:21:19 2024
230,yucca valley,34.1142,-116.4322,301.45,27,0,1.79,US,Mon Jul 29 00:21:20 2024
231,motygino,58.1831,94.7592,302.17,40,5,3.09,RU,Mon Jul 29 00:21:21 2024
232,i-n-salah,27.1935,2.4607,308.6,14,0,9.94,DZ,Mon Jul 29 00:21:22 2024
233,alice springs,-23.7,133.8833,288.9,27,0,6.69,AU,Mon Jul 29 00:21:23 2024
234,brisas de zicatela,15.8369,-97.0419,300.15,85,100,2.14,MX,Mon Jul 29 00:21:24 2024
235,fort mcmurray,56.7268,-111.381,295.88,60,0,3.6,CA,Mon Jul 29 00:21:25 2024
236,vorgashor,67.5833,63.95,292.71,69,86,5.28,RU,Mon Jul 29 00:21:14 2024
237,ibimirim,-8.5406,-37.6903,291.4,93,10,2.49,BR,Mon Jul 29 00:21:28 2024
238,holualoa,19.6228,-155.9522,298.06,81,100,2.57,US,Mon Jul 29 00:21:29 2024
239,cabedelo,-6.9811,-34.8339,296.52,88,13,5.53,BR,Mon Jul 29 00:21:30 2024
240,kruisfontein,-34.0033,24.7314,281.42,66,83,5.28,ZA,Mon Jul 29 00:21:31 2024
241,malanje,-9.5402,16.341,287.44,77,91,0.05,AO,Mon Jul 29 00:21:32 2024
242,punta cardon,11.6581,-70.215,299.98,85,50,12.79,VE,Mon Jul 29 00:21:33 2024
243,sol'-iletsk,51.1631,54.9918,293.94,43,25,2.46,RU,Mon Jul 29 00:21:34 2024
244,taroa,8.7058,171.2275,298.18,92,100,6.27,MH,Mon Jul 29 00:21:35 2024
245,kiunga,-6.1219,141.2906,299.78,83,98,0.99,PG,Mon Jul 29 00:21:36 2024
246,ouallam,14.3188,2.0866,299.65,77,98,4.31,NE,Mon Jul 29 00:21:37 2024
247,port shepstone,-30.7414,30.455,285.89,47,20,6.86,ZA,Mon Jul 29 00:21:38 2024
248,kailua-kona,19.6406,-155.9956,300.13,82,100,2.57,US,Mon Jul 29 00:21:40 2024
249,korla,41.7597,86.1469,309.15,16,85,2.93,CN,Mon Jul 29 00:21:41 2024
250,ndende,-2.4008,11.3581,291.77,91,88,0.98,GA,Mon Jul 29 00:21:42 2024
251,kingston,17.997,-76.7936,302.68,74,20,1.54,JM,Mon Jul 29 00:21:43 2024
252,ugoofaaru,5.6667,73.0,301.08,82,100,7.48,MV,Mon Jul 29 00:21:44 2024
253,chichawatni,30.5333,72.7,312.76,39,38,4.28,PK,Mon Jul 29 00:21:45 2024
254,hennebont,47.8051,-3.2734,290.84,81,0,4.12,FR,Mon Jul 29 00:21:46 2024
255,taghazout,30.5426,-9.7112,293.58,91,45,0.57,MA,Mon Jul 29 00:21:47 2024
256,moscow,55.7522,37.6156,291.3,69,87,3.33,RU,Mon Jul 29 00:17:51 2024
257,puerto baquerizo moreno,-0.9,-89.6,292.97,84,56,4.44,EC,Mon Jul 29 00:21:50 2024
258,lesosibirsk,58.2358,92.4828,302.52,46,30,3.78,RU,Mon Jul 29 00:21:51 2024
259,rio grande,-32.035,-52.0986,283.68,73,100,8.87,BR,Mon Jul 29 00:21:52 2024
260,kresttsy,58.2452,32.5165,289.26,93,100,4.0,RU,Mon Jul 29 00:21:53 2024
261,jinchang,38.4953,102.1739,300.04,30,100,7.01,CN,Mon Jul 29 00:21:54 2024
262,pimentel,-6.8367,-79.9342,290.31,82,0,4.63,PE,Mon Jul 29 00:21:55 2024
263,abaetetuba,-1.7181,-48.8825,297.78,82,31,2.48,BR,Mon Jul 29 00:21:56 2024
264,mata-utu,-13.2816,-176.1745,298.69,58,11,9.92,WF,Mon Jul 29 00:21:57 2024
265,ad dilam,23.9915,47.1627,306.38,15,100,3.6,SA,Mon Jul 29 00:21:58 2024
266,qaqortoq,60.7167,-46.0333,277.29,85,20,1.37,GL,Mon Jul 29 00:21:59 2024
267,zheleznodorozhnyy,55.7503,38.0042,291.29,85,85,3.34,RU,Mon Jul 29 00:22:00 2024
268,aripuana,-9.1667,-60.6333,295.52,48,3,1.22,BR,Mon Jul 29 00:22:01 2024
269,ketchikan,55.3422,-131.6461,289.41,82,75,0.0,US,Mon Jul 29 00:22:02 2024
